ticker_original,ticker,company,sector
VTRS,VTRS,Viatris,Health Care
VZ,VZ,Verizon,Communication Services
WAB,WAB,Wabtec,Industrials
WAT,WAT,Waters Corporation,Health Care
WBA,WBA,WBA,Unknown
WBD,WBD,Warner Bros. Discovery,Communication Services
WCG,WCG,WCG,Unknown
WDAY,WDAY,"Workday, Inc.",Information Technology
WDC,WDC,Western Digital,Information Technology
WEC,WEC,WEC Energy Group,Utilities
WELL,WELL,Welltower,Real Estate
WFC,WFC,Wells Fargo,Financials
WFM,WFM,WFM,Unknown
WHR,WHR,WHR,Unknown
WM,WM,Waste Management,Industrials
WMB,WMB,Williams Companies,Energy
WMT,WMT,Walmart,Consumer Staples
WRB,WRB,W. R. Berkley Corporation,Financials
WSM,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary
WST,WST,West Pharmaceutical Services,Health Care
WLTW,WTW,Willis Towers Watson,Financials
WU,WU,WU,Unknown
WY,WY,Weyerhaeuser,Real Estate
WYND,WYND,WYND,Unknown
WYNN,WYNN,Wynn Resorts,Consumer Discretionary
XEC,XEC,XEC,Unknown
XEL,XEL,Xcel Energy,Utilities
XL,XL,XL,Unknown
XLNX,XLNX,XLNX,Unknown
XOM,XOM,ExxonMobil,Energy
XRAY,XRAY,XRAY,Unknown
XRX,XRX,XRX,Unknown
XYL,XYL,Xylem Inc.,Industrials
XYZ,XYZ,"Block, Inc.",Financials
YUM,YUM,Yum! Brands,Consumer Discretionary
ZBH,ZBH,Zimmer Biomet,Health Care
ZBRA,ZBRA,Zebra Technologies,Information Technology
ZION,ZION,ZION,Unknown
ZTS,ZTS,Zoetis,Health Care
